100200,It,5
100200,John Wick: Chapter 2,6
100200,Jumanji: Welcome to the Jungle,11
100200,The Shawshank Redemption,2
100200,Your Name.,11
101217,Ex Machina,4
101217,Murder on the Orient Express,9
101217,The Killing of a Sacred Deer,5
101217,The Legend of Tarzan,8
101217,The Twilight Saga: Breaking Dawn - Part 1,4
104490,Captain America: Civil War,3
104490,Get Out,10
104490,Pitch Perfect 3,5
104490,Spectre,4
104490,The Lion King,11
104490,The Man Who Invented Christmas,8
107081,Beauty and the Beast,3
107081,Captain America: Civil War,6
107081,Fury,10
107081,Justice League,4
107081,Minions,4
107081,Pirates of the Caribbean: At World's End,6
107081,The Disaster Artist,7
108974,American Made,5
108974,Jumanji,9
108974,Maleficent,5
108974,mother!,9
108974,One Flew Over the Cuckoo's Nest,7
108974,Pulp Fiction,11
108974,Wonder Woman,8
109300,Fifty Shades of Grey,7
109300,Finding Nemo,7
109300,Kingsman: The Golden Circle,7
109300,Mad Max: Fury Road,6
109300,Spirited Away,11
109300,There Be Dragons,7
109300,Up,9
110334,Chappie,4
110334,Inside Out,7
110334,Mad Max: Fury Road,2
110334,Olaf's Frozen Adventure,3
110334,Pirates of the Caribbean: The Curse of the Black Pearl,11
110334,Spirited Away,7
110334,Teenage Mutant Ninja Turtles,5
110587,Attraction,11
110587,Batman Begins,9
110587,Chiara e Francesco,4
110587,Justice League,7
110587,Miss Peregrine's Home for Peculiar Children,3
110587,Thor: Ragnarok,9
111198,Darkest Hour,3
111198,Dunkirk,2
111198,Sin City: A Dame to Kill For,4
111198,The Killing of a Sacred Deer,3
111198,The Purge,7
111198,The Star,7
113544,Batman v Superman: Dawn of Justice,11
113544,Finding Nemo,11
113544,Home Alone 2: Lost in New York,10
113544,Paul,3
113544,San Andreas,7
113544,Wonder Woman,5
113810,Flatliners,8
113810,Pacific Rim,5
113810,The Ballad of Lefty Brown,11
113810,The Hobbit: An Unexpected Journey,9
113810,The Incredible Hulk,11
113810,The Incredible Hulk,5
117776,Cinderella,5
117776,Doctor Strange,9
117776,Finding Nemo,10
117776,Get Out,6
117776,Star Wars,5
117776,The Godfather: Part II,10
118594,Harry Potter and the Deathly Hallows: Part 2,2
118594,Inglourious Basterds,9
118594,"Roman J. Israel, Esq.",6
118594,The Amazing Spider-Man,2
118594,What Happened to Monday,9
118594,Wonder Wheel,3
122212,47 Meters Down,8
122212,Big Hero 6,10
122212,Fifty Shades of Grey,6
122212,Furious 7,2
122212,Guardians of the Galaxy Vol. 2,10
122212,Your Name.,11
123157,Birdman,8
123157,Creed,9
123157,Kong: Skull Island,6
123157,Pitch Perfect 3,6
123157,The Hunger Games: Mockingjay - Part 1,2
126402,Batman Begins,4
126402,Batman v Superman: Dawn of Justice,3
126402,Bedeviled,8
126402,Star Wars: The Last Jedi,5
126402,The Twilight Saga: Eclipse,11
127723,Gone Girl,3
127723,Home Again,11
127723,Sin City: A Dame to Kill For,7
127723,Taken 3,10
128576,Clash of the Titans,3
128576,Frozen,4
128576,Spectre,6
128576,The Maze Runner,10
128576,War for the Planet of the Apes,4
128828,Finding Nemo,8
128828,Maleficent,11
128828,Pirates of the Caribbean: On Stranger Tides,8
128828,Pirates of the Caribbean: The Curse of the Black Pearl,6
128828,Psycho,3
131821,Darkest Hour,8
